SmSphere_Qvals	SmSphere_data	SmSphere_err	SmSphere_sq	SmSphere_qb	SmSphere_fs
0.003797	13.8453909411881	0.0370137581646348	0.00109	0.003945	0.9956
0.004197	13.8729449831987	0.0370598359402944	0.001093	0.004328	1
0.004596	13.5194642115122	0.0370204219369204	0.001096	0.004716	1
0.004996	14.1643190759627	0.0369774143988699	0.0011	0.005106	1
0.005396	13.6299857916177	0.0369307701023157	0.001105	0.005498	1
0.005795	14.1099479614054	0.0368807098776389	0.001111	0.00589	1
0.006195	13.9341857913608	0.0368269865353765	0.001117	0.006284	1
0.006595	13.1058969528644	0.036769833750536	0.001124	0.006678	1
0.006995	13.0902607639546	0.0367091288966908	0.001131	0.007073	1
0.007394	13.3566167231013	0.0366449782315799	0.00114	0.007468	1
0.007794	13.0434104219228	0.0365772899452429	0.001148	0.007864	1
0.008194	12.893801578062	0.0365060057612242	0.001157	0.008261	1
0.008593	12.7459282965332	0.036431498467843	0.001167	0.008657	1
0.008993	12.7667006129357	0.036353431606443	0.001177	0.009054	1
0.009393	13.4179811764688	0.0362720046335522	0.001187	0.009451	1
0.009792	13.4914386527016	0.0361872112834405	0.001198	0.009848	1
0.01019	13.0896068565867	0.036097964534507	0.001209	0.01025	1
0.01059	12.5070270726398	0.0360081334121691	0.00122	0.01064	1
0.01099	13.1371471562638	0.0359126858430228	0.001232	0.01104	1
0.01139	13.026267293169	0.035813919884218	0.001244	0.01144	1
0.01179	12.1217807488662	0.0357118334496784	0.001257	0.01184	1
0.01219	13.2391796765312	0.0356064709042688	0.00127	0.01224	1
0.01259	12.3312982674837	0.035500601878945	0.001283	0.01263	1
0.01299	11.9217401366796	0.0353888345792877	0.001296	0.01303	1
0.01339	12.6836069535335	0.0352738364507101	0.00131	0.01343	1
0.01374	12.7994169091388	0.035101102425976	0.002327	0.01391	1
0.01379	12.5804575467681	0.0351556541873339	0.001324	0.01383	1
0.01419	11.9059605478635	0.0350343125123974	0.001338	0.01423	1
0.01459	11.6061181051903	0.0349098148643821	0.001353	0.01463	1
0.01499	11.7690131558738	0.0347854509042165	0.001367	0.01502	1
0.01505	12.6211896151892	0.0346950956723354	0.002353	0.01521	1
0.01539	11.9099381836727	0.0346548410867286	0.001382	0.01542	1
0.01579	12.1465405519077	0.0345211767988615	0.001397	0.01582	1
0.01619	11.4300867777369	0.0343844647974855	0.001413	0.01622	1
0.01636	12.1784558041575	0.0342602468673601	0.002381	0.0165	1
0.01659	11.6811285165411	0.0342447551451195	0.001429	0.01662	1
0.01699	11.6848141765119	0.0341020975609556	0.001444	0.01702	1
0.01738	11.0282804049825	0.033956459923438	0.001461	0.01742	1
0.01767	11.8539145572683	0.0337907936138598	0.002411	0.0178	1
0.01778	11.9636036447943	0.0338079343226207	0.001477	0.01782	1
0.01818	11.6831582718494	0.0336603430098461	0.001493	0.01821	1
0.01858	10.7652414990063	0.0335061448748516	0.00151	0.01861	1
0.01898	10.5881065687576	0.0332909823732301	0.002444	0.0191	1
0.01898	11.2870691725993	0.0332909823732301	0.001527	0.01901	1
0.01938	11.0801210154533	0.0331893377652823	0.001544	0.01941	1
0.01978	11.2249701105083	0.0330267944090581	0.001561	0.01981	1
0.02018	10.7460988326662	0.0328615358110802	0.001578	0.02021	1
0.02029	11.0128837031099	0.0327619493560854	0.002479	0.0204	1
0.02058	10.2318092222954	0.0326935786933276	0.001596	0.02061	1
0.02098	10.9830129267703	0.0325229929347369	0.001613	0.02101	1
0.02138	10.1166093900881	0.0323497793713387	0.001631	0.02141	1
0.0216	10.3230793516538	0.0322048814920197	0.002515	0.0217	1
0.02178	10.8613378493074	0.0321784096919101	0.001649	0.0218	1
0.02218	9.89161517073568	0.0320001460773222	0.001667	0.0222	1
0.02258	10.5957100330897	0.0318193796003256	0.001685	0.0226	1
0.0229	10.1512850656832	0.0316163607382469	0.002554	0.02301	1
0.02298	10.218771933551	0.0316361473328292	0.001703	0.023	1
0.02338	9.48667269261816	0.0314504730991527	0.001722	0.0234	1
0.02378	9.46542354945416	0.0312624228803972	0.00174	0.0238	1
0.02418	9.4509871720373	0.0310720083430957	0.001759	0.0242	1
0.02421	9.21031967011698	0.0310066869224644	0.002594	0.02431	1
0.02458	9.27416310582648	0.0308792820660509	0.001778	0.0246	1
0.02498	9.46625062045323	0.0306842833397397	0.001797	0.025	1
0.02537	9.33577362148876	0.0304870518521991	0.001816	0.0254	1
0.02552	9.48348628372971	0.0303727771033828	0.002636	0.02561	1
0.02577	8.86207103110543	0.0302876276783891	0.001835	0.0258	1
0.02617	8.88161691974748	0.0300911123923344	0.001854	0.02619	1
0.02657	8.82733147158686	0.0298874772310043	0.001873	0.02659	1
0.02683	8.40565530211602	0.0297108705954906	0.00268	0.02692	1
0.02697	8.91344114731875	0.0296817708010847	0.001892	0.02699	1
